,FileName,Label,valence,arousal,dominance
0,Ses01F_impro01_F000,neu,2.5,2.5,2.5
1,Ses01F_impro01_F001,neu,2.5,2.5,2.5
2,Ses01F_impro01_F002,neu,2.5,2.5,2.5
3,Ses01F_impro01_F005,neu,2.5,3.5,2.0
4,Ses01F_impro01_F012,ang,2.0,3.5,3.5
5,Ses01F_impro01_F014,neu,2.5,3.5,3.5
6,Ses01F_impro01_M011,ang,2.0,4.0,4.0
7,Ses01F_impro01_M013,ang,2.0,4.5,4.5
8,Ses01F_impro02_F000,sad,2.5,2.0,1.5
9,Ses01F_impro02_F001,sad,2.0,1.5,1.5
10,Ses01F_impro02_F002,sad,2.0,1.5,1.5
11,Ses01F_impro02_F003,neu,2.0,2.0,2.0
12,Ses01F_impro02_F004,sad,2.5,2.0,2.5
13,Ses01F_impro02_F005,sad,2.0,2.0,2.5
14,Ses01F_impro02_F006,neu,2.5,2.5,2.5
15,Ses01F_impro02_F008,sad,1.5,2.0,1.5
16,Ses01F_impro02_F010,sad,2.0,1.5,2.0
17,Ses01F_impro02_F012,sad,3.5,2.0,1.5
18,Ses01F_impro02_F013,sad,1.5,2.0,2.0
19,Ses01F_impro02_F014,sad,1.5,2.0,2.0
20,Ses01F_impro02_F015,sad,2.0,2.5,2.5
21,Ses01F_impro02_F016,neu,2.0,1.0,2.5
22,Ses01F_impro02_F017,sad,3.5,3.0,2.5
23,Ses01F_impro02_F018,neu,2.5,2.5,2.5
24,Ses01F_impro02_F019,sad,2.5,1.5,2.0
25,Ses01F_impro02_F020,sad,4.0,2.0,2.5
26,Ses01F_impro02_M001,sad,2.0,2.5,2.5
27,Ses01F_impro02_M005,sad,2.0,3.0,1.5
28,Ses01F_impro02_M009,sad,2.0,1.5,2.5
29,Ses01F_impro02_M010,sad,2.0,2.0,1.5
30,Ses01F_impro02_M011,sad,2.5,1.5,2.5
31,Ses01F_impro02_M012,neu,2.5,2.0,2.0
32,Ses01F_impro02_M013,sad,1.5,2.0,2.0
33,Ses01F_impro02_M014,sad,1.5,3.0,1.5
34,Ses01F_impro02_M015,neu,3.0,3.0,1.5
35,Ses01F_impro03_F000,hap,4.3333,2.6667,2.6667
36,Ses01F_impro03_F001,hap,4.0,2.6667,2.6667
37,Ses01F_impro03_F002,hap,4.3333,3.0,2.3333
38,Ses01F_impro03_F004,hap,4.6667,3.6667,2.3333
39,Ses01F_impro03_F005,hap,4.3333,4.0,2.3333
40,Ses01F_impro03_F006,hap,4.0,3.3333,2.6667
41,Ses01F_impro03_F008,hap,4.0,3.3333,2.3333
42,Ses01F_impro03_F009,hap,4.0,2.6667,2.3333
43,Ses01F_impro03_F010,hap,4.0,3.3333,3.0
